,id,c_x0,c_x1,c_x2,c_y0,c_y1,c_y2,c_z0,c_z1,c_z2,residuals_x,residuals_y,residuals_z
0,1,0.1152116347650744,-4.535462935745058e-08,1.2031542165600041e-11,0.11521616233882041,-0.0006569308598891045,-2.5390719868245985e-05,0.11521690639903875,-0.002065807866499635,2.441119032009888e-05,8.875177226005927e-21,0.00011137762706367494,9.646041334463532e-07
1,2,0.0029780837809636057,-1.111069043574573e-05,2.906519004850831e-08,0.002978084099464616,4.498589605891394e-05,5.314054982889034e-08,0.0029780836769623177,3.474955300243592e-05,-8.219186664918613e-08,9.940446163560675e-13,2.00950766086797e-12,1.1410507282479269e-14
2,3,0.004997206095492364,-2.298790188999957e-05,7.437351071702474e-08,0.004997207292951774,7.785984791331756e-05,1.1611615220759991e-07,0.004997205809855162,5.409376453260227e-05,-1.9045134361268806e-07,9.637769639890066e-12,1.6759226852796827e-11,3.281968046311118e-12
3,4,0.009599770165466601,-5.6871702201481876e-05,2.275057548614963e-07,0.009599776055561192,0.00015829713184798284,3.1889413711324644e-07,0.009599769651427071,8.644904645154557e-05,-5.465557045573666e-07,1.1256732789858984e-10,2.8231694221028613e-10,3.178573728233958e-10
4,5,0.021813603198212187,-0.00014807744396868255,3.8766608938413773e-07,0.02181363610168531,0.000405086625951241,1.2448662746570053e-06,0.021813632721198083,9.11542833954927e-05,-1.644931164142876e-06,7.382711057166858e-10,1.1490349919647708e-08,3.373518592605162e-08
5,6,0.03698850979103473,1.008042695792965e-07,-1.5218598024921254e-06,0.03698879182195678,0.0007662963530908762,3.1638548593684434e-06,0.03698881821277517,-4.8621119240495456e-05,-1.6887058734562315e-06,1.3289555031272873e-11,1.0828656075920544e-07,1.8234205909814357e-07
6,7,0.021778708710707778,0.0001480917504423078,3.8772496412578105e-07,0.02177874161431999,0.00040454544786182854,1.2439313960439509e-06,0.021778738233205,9.074668452382574e-05,-1.6440551367235152e-06,7.382605129249718e-10,1.1492882583303913e-08,3.3730043639464243e-08
7,8,0.009564153975734234,5.686995417598359e-05,2.2755354556627339e-07,0.009564159865908166,0.00015774779215615785,3.1798821544383286e-07,0.009564153461328644,8.602979075612231e-05,-5.456975503103625e-07,1.1257740882883266e-10,2.826707134886202e-10,3.1740294519365725e-10
8,9,0.004962952073901426,2.297439594808104e-05,7.440553525177879e-08,0.004962953271373197,7.733543685426394e-05,1.1530647120215696e-07,0.004962951788049031,5.368635284083875e-05,-1.8967366669495246e-07,9.641165368412274e-12,1.682755738575018e-11,3.2443757424883183e-12
9,10,0.002946565264492736,1.1090182543814388e-05,2.908200850287099e-08,0.0029465655829540994,4.4507446140581034e-05,5.245886604854388e-08,0.0029465651604024218,3.437030087543262e-05,-8.152698515358903e-08,9.949852872211504e-13,2.026587601367756e-12,9.832639994529198e-15
